grid,n_cells_total,n_cells_with_data,n_cells_zero,pct_coverage,total_occurrences,mean_per_cell,median_per_cell
grid10km,6988,6284,704,89.93,134235995,19209.5,2354.5
grid50km,336,332,4,98.81,134238011,399517.89,86993
