taxonID,scientificName,taxonRank,threatStatus,kingdom,phylum,class,order,family,establishmentMeans,scientific_std,matched_any,matched_grid10,matched_grid50,n_grids
urn:lsid:dyntaxa.se:TaxonName:27048,Spermothamnion barbatum var. mesocarpum,species,"",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,"",spermothamnion barbatum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:27053,Spermothamnion barbatum,species,"",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,"",spermothamnion barbatum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:27047,Spermothamnion mesocarpum,species,"",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,"",spermothamnion mesocarpum,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89946,Sphaerella chimaphilae,species,"",Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,"",sphaerella chimaphilae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:317163,Sphaerella longissima,species,"",Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,"",sphaerella longissima,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89631,Sphaeria bombarda,species,"",Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,"",sphaeria bombarda,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:332003,Sphaeria byssacea,species,"",Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,"",sphaeria byssacea,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89990,Sphaeria corniformis,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,"",sphaeria corniformis,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89899,Sphaeria coronillae,species,"",Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,"",sphaeria coronillae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:33332,Sphaeria discreta,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Graphostromataceae,"",sphaeria discreta,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:84548,Sphaeria dissepta,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,"",sphaeria dissepta,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89898,Sphaeria elongata var. coronillae,species,"",Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,"",sphaeria elongata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89895,Sphaeria eunomia,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,"",sphaeria eunomia,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89632,Sphaeria fasciculata,species,"",Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,"",sphaeria fasciculata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:144465,Sphaeria foedans,species,"",Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,"",sphaeria foedans,FALSE,FALSE,FALSE,0
