taxonID,scientificName,taxonRank,threatStatus,scientific_std,matched_any,matched_grid10,matched_grid50
urn:lsid:dyntaxa.se:Taxon:249241,Cortinarius cruentipellis,species,VU,cortinarius cruentipellis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:445,Cortinarius cupreorufus,species,VU,cortinarius cupreorufus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3595,Cortinarius dalecarlicus,species,VU,cortinarius dalecarlicus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:447,Cortinarius elegantissimus,species,VU,cortinarius elegantissimus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:470,Cortinarius eucaeruleus,species,VU,cortinarius eucaeruleus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:448,Cortinarius flavovirens,species,VU,cortinarius flavovirens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1984,Cortinarius fulvocitrinus,species,VU,cortinarius fulvocitrinus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248935,Cortinarius humolens,species,EN,cortinarius humolens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3637,Cortinarius inexspectatus,species,VU,cortinarius inexspectatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249240,Cortinarius langeorum,species,VU,cortinarius langeorum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3569,Cortinarius luhmannii,species,VU,cortinarius luhmannii,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249246,Cortinarius majoranae,species,EN,cortinarius majoranae,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248955,Cortinarius metarius,species,VU,cortinarius metarius,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248944,Cortinarius molochinus,species,VU,cortinarius molochinus,FALSE,FALSE,FALSE
