taxonID,scientificName,taxonRank,threatStatus,family,order,priority,n_cells_10km,n_cells_50km,total_occ_10km
urn:lsid:dyntaxa.se:Taxon:1784,Buellia epigaea,species,CR,Caliciaceae,Caliciales,Threatened - Poorly Sampled,1,1,47
urn:lsid:dyntaxa.se:Taxon:1786,Byssoloma marginatum,species,CR,Pilocarpaceae,Lecanorales,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:216,Calicium lenticulare,species,CR,Caliciaceae,Caliciales,Threatened - Poorly Sampled,1,1,27
urn:lsid:dyntaxa.se:Taxon:503,Calicium trachylioides,species,CR,Caliciaceae,Caliciales,Threatened - Poorly Sampled,1,1,453
urn:lsid:dyntaxa.se:Taxon:100023,Calidris alpina schinzii,subspecies,CR,Scolopacidae,Charadriiformes,Threatened - Poorly Sampled,1,1,593452
urn:lsid:dyntaxa.se:Taxon:225,Calogaya lobulata,species,CR,Teloschistaceae,Teloschistales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:664,Calogaya schistidii,species,CR,Teloschistaceae,Teloschistales,Threatened - Poorly Sampled,1,1,75
urn:lsid:dyntaxa.se:Taxon:228401,Caloplaca atroalba,species,CR,Teloschistaceae,Teloschistales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:100533,Calosoma auropunctatum,species,CR,Carabidae,Coleoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:100536,Camponotus fallax,species,CR,Formicidae,Hymenoptera,Threatened - Poorly Sampled,1,1,94
urn:lsid:dyntaxa.se:Taxon:100543,Cardiophorus gramineus,species,CR,Elateridae,Coleoptera,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:1793,Celothelium ischnobelum,species,CR,"Pyrenulales, genera incertae sedis",Pyrenulales,Threatened - Poorly Sampled,1,1,28
urn:lsid:dyntaxa.se:Taxon:293,Cephalozia macounii,species,CR,Cephaloziaceae,Jungermanniales,Threatened - Poorly Sampled,1,1,156
urn:lsid:dyntaxa.se:Taxon:100571,Cerambyx cerdo,species,CR,Cerambycidae,Coleoptera,Threatened - Poorly Sampled,1,1,342
urn:lsid:dyntaxa.se:Taxon:1789,Cerothallia luteoalba,species,CR,Teloschistaceae,Teloschistales,Threatened - Poorly Sampled,1,1,347
urn:lsid:dyntaxa.se:Taxon:305,Cetrelia olivetorum s.lat.,speciesAggregate,CR,Parmeliaceae,Lecanorales,Threatened - Poorly Sampled,1,1,7
urn:lsid:dyntaxa.se:Taxon:100588,Ceutorhynchus granulicollis,species,CR,Curculionidae,Coleoptera,Threatened - Poorly Sampled,1,1,23
urn:lsid:dyntaxa.se:Taxon:100601,Ceutorhynchus syrites,species,CR,Curculionidae,Coleoptera,Threatened - Poorly Sampled,1,1,41
urn:lsid:dyntaxa.se:Taxon:327,Chara filiformis,species,CR,Characeae,Charales,Threatened - Poorly Sampled,1,1,37
urn:lsid:dyntaxa.se:Taxon:337,Chenopodiastrum murale,species,CR,Amaranthaceae,Caryophyllales,Threatened - Poorly Sampled,1,1,537
urn:lsid:dyntaxa.se:Taxon:249140,Chrysis zetterstedti,species,CR,Chrysididae,Hymenoptera,Threatened - Poorly Sampled,1,1,2
urn:lsid:dyntaxa.se:Taxon:1810,Cliostomum tenerum,species,CR,Ramalinaceae,Lecanorales,Threatened - Poorly Sampled,1,1,30
urn:lsid:dyntaxa.se:Taxon:102398,Cochylimorpha hilarana,species,CR,Tortricidae,Lepidoptera,Threatened - Poorly Sampled,1,1,2
