grid,year,basisofrecord,n_families,total_occurrences
grid10km,2002,materialCitation,3,4
grid10km,2021,materialCitation,2,2
grid10km,1989,materialCitation,1,3
grid10km,1951,materialCitation,5,8
grid10km,1993,materialCitation,2,4
grid10km,1995,materialCitation,1,2
grid10km,1998,materialCitation,2,3
grid10km,1999,materialCitation,2,3
grid10km,2010,materialCitation,1,2
grid10km,1958,materialCitation,1,3
grid10km,1849,materialCitation,1,1
grid10km,1960,materialCitation,1,1
grid10km,1928,materialCitation,2,3
grid10km,1911,materialCitation,1,1
grid10km,1931,materialCitation,1,2
grid10km,1902,materialCitation,1,1
grid10km,1887,materialCitation,1,1
grid10km,1930,materialCitation,1,4
grid10km,1919,materialCitation,1,1
grid10km,1918,materialCitation,1,1
grid10km,1929,materialCitation,1,1
grid10km,1925,materialCitation,1,1
grid10km,1940,materialCitation,1,2
grid10km,1932,materialCitation,1,5
grid10km,1934,materialCitation,1,1
grid10km,1922,materialCitation,1,1
grid10km,1943,materialCitation,1,1
grid10km,2020,materialCitation,1,1
grid10km,1926,materialCitation,1,2
grid10km,1968,materialCitation,1,1
grid10km,1927,materialCitation,1,1
grid10km,1962,materialCitation,1,1
grid10km,1914,materialCitation,1,1
grid10km,1967,materialCitation,1,1
grid10km,2020,materialSample,951,62024
grid10km,2019,materialSample,2105,1214588
grid10km,2011,materialSample,482,60826
grid10km,2017,materialSample,837,55179
grid10km,2021,materialSample,737,79388
grid10km,1997,materialSample,195,11393
grid10km,2013,materialSample,522,61314
grid10km,1905,materialSample,60,476
grid10km,2024,materialSample,322,16965
grid10km,2018,materialSample,588,52095
grid10km,2006,materialSample,337,33090
grid10km,2010,materialSample,470,62761
grid10km,2012,materialSample,478,60949
grid10km,2009,materialSample,614,61590
grid10km,2004,materialSample,277,22745
grid10km,2015,materialSample,875,60789
grid10km,2016,materialSample,1569,108479
grid10km,1998,materialSample,187,11665
grid10km,2022,materialSample,573,70032
grid10km,2008,materialSample,448,60347
grid10km,2014,materialSample,664,98648
grid10km,2003,materialSample,335,20335
grid10km,2007,materialSample,457,40209
grid10km,2000,materialSample,282,30180
grid10km,2002,materialSample,230,15255
grid10km,2023,materialSample,458,38710
grid10km,1999,materialSample,182,12925
grid10km,1996,materialSample,179,10975
grid10km,2005,materialSample,294,20146
grid10km,1992,materialSample,113,5297
grid10km,1987,materialSample,76,2155
grid10km,1993,materialSample,169,11990
grid10km,2001,materialSample,278,17313
grid10km,1988,materialSample,80,1933
grid10km,1903,materialSample,49,801
grid10km,1906,materialSample,34,472
grid10km,1994,materialSample,178,13290
grid10km,1995,materialSample,172,13662
grid10km,1984,materialSample,74,1251
grid10km,1991,materialSample,86,5051
grid10km,1904,materialSample,39,454
grid10km,1907,materialSample,42,405
grid10km,1966,materialSample,14,31
grid10km,1973,materialSample,13,577
grid10km,1986,materialSample,67,2046
grid10km,1910,materialSample,50,990
grid10km,1902,materialSample,42,362
grid10km,1980,materialSample,40,408
grid10km,1983,materialSample,49,906
grid10km,1981,materialSample,38,249
grid10km,1989,materialSample,67,2197
grid10km,1958,materialSample,3,4
grid10km,1990,materialSample,81,3977
grid10km,1959,materialSample,1,1
grid10km,2025,materialSample,17,249
grid10km,1898,materialSample,1,1
grid10km,1879,materialSample,1,1
grid10km,1956,materialSample,3,4
grid10km,1985,materialSample,63,1144
grid10km,1979,materialSample,40,426
grid10km,1912,materialSample,21,135
grid10km,1969,materialSample,6,8
grid10km,1894,materialSample,1,3
grid10km,1877,materialSample,1,2
grid10km,1950,materialSample,9,12
grid10km,1952,materialSample,3,5
grid10km,1982,materialSample,42,257
grid10km,1972,materialSample,15,469
grid10km,1947,materialSample,12,20
grid10km,1911,materialSample,21,65
grid10km,1951,materialSample,6,10
grid10km,1940,materialSample,4,6
grid10km,1955,materialSample,3,3
grid10km,1943,materialSample,6,7
grid10km,1975,materialSample,5,7
grid10km,1941,materialSample,3,4
grid10km,1945,materialSample,4,9
grid10km,1881,materialSample,2,2
grid10km,1936,materialSample,3,4
grid10km,1967,materialSample,11,16
grid10km,1962,materialSample,5,5
grid10km,1900,materialSample,1,1
grid10km,1948,materialSample,7,8
grid10km,1971,materialSample,4,12
grid10km,1976,materialSample,7,12
grid10km,1965,materialSample,6,6
grid10km,1942,materialSample,5,6
grid10km,1908,materialSample,8,19
grid10km,1865,materialSample,1,1
grid10km,1891,materialSample,1,2
grid10km,1909,materialSample,14,29
grid10km,1897,materialSample,2,5
grid10km,1974,materialSample,6,8
grid10km,1935,materialSample,2,2
grid10km,1953,materialSample,3,3
grid10km,1931,materialSample,3,5
grid10km,1960,materialSample,3,8
grid10km,1968,materialSample,7,7
grid10km,1926,materialSample,4,5
grid10km,1978,materialSample,6,13
grid10km,1949,materialSample,6,8
grid10km,1929,materialSample,4,5
grid10km,1938,materialSample,5,17
grid10km,1937,materialSample,2,2
grid10km,1916,materialSample,1,1
grid10km,1977,materialSample,14,153
grid10km,1895,materialSample,1,1
grid10km,1925,materialSample,3,3
grid10km,1944,materialSample,1,1
grid10km,1957,materialSample,3,3
grid10km,1970,materialSample,1,2
grid10km,1882,materialSample,1,1
grid10km,1927,materialSample,3,4
grid10km,1913,materialSample,1,1
grid10km,1876,materialSample,1,2
grid10km,1933,materialSample,1,1
grid10km,1961,materialSample,2,2
grid10km,1946,materialSample,5,8
grid10km,1964,materialSample,2,2
grid10km,1954,materialSample,3,4
grid10km,1921,materialSample,1,1
grid10km,1892,materialSample,1,4
grid10km,1922,materialSample,1,1
grid10km,1992,observation,47,165
grid10km,1995,observation,88,1396
grid10km,2001,observation,44,228
grid10km,1982,observation,5,12
grid10km,1986,observation,6,8
grid10km,1975,observation,2,2
grid10km,2013,observation,1,1
grid10km,1987,observation,2,2
grid10km,1971,observation,1,10
grid10km,1994,observation,22,54
grid10km,2002,occurrence,27,215
grid10km,2003,occurrence,27,228
grid10km,1926,occurrence,21,111
grid10km,1947,occurrence,9,581
grid10km,1914,occurrence,9,31
grid10km,1932,occurrence,10,65
grid10km,1935,occurrence,6,46
grid10km,1944,occurrence,8,145
grid10km,1939,occurrence,5,12
grid10km,1924,occurrence,9,53
grid10km,1927,occurrence,25,175
grid10km,1840,occurrence,4,11
grid10km,1936,occurrence,7,33
grid10km,1942,occurrence,7,19
grid10km,1948,occurrence,7,233
grid10km,1925,occurrence,9,114
grid10km,1928,occurrence,19,152
grid10km,1946,occurrence,12,191
grid10km,1907,occurrence,12,69
grid10km,1931,occurrence,19,84
grid10km,1921,occurrence,8,42
grid10km,1923,occurrence,8,67
grid10km,1940,occurrence,7,12
grid10km,1909,occurrence,13,47
grid10km,1945,occurrence,8,101
grid10km,1929,occurrence,7,60
grid10km,1930,occurrence,18,64
grid10km,1933,occurrence,8,43
grid10km,1949,occurrence,10,109
grid10km,1915,occurrence,6,16
grid10km,1912,occurrence,13,17
grid10km,1900,occurrence,23,40
grid10km,1910,occurrence,17,22
grid10km,1919,occurrence,5,10
grid10km,1941,occurrence,7,26
grid10km,1943,occurrence,7,37
grid10km,1934,occurrence,7,27
grid10km,1938,occurrence,7,14
grid10km,1911,occurrence,17,28
grid10km,1908,occurrence,9,13
grid10km,1903,occurrence,19,66
grid10km,1917,occurrence,8,17
grid10km,1916,occurrence,8,24
grid10km,1906,occurrence,12,27
grid10km,1920,occurrence,7,11
grid10km,1922,occurrence,7,20
grid10km,1832,occurrence,6,10
grid10km,2008,occurrence,4,8
grid10km,1972,occurrence,7,7
grid10km,1887,occurrence,6,9
grid10km,1973,occurrence,15,23
grid10km,1889,occurrence,32,46
grid10km,2016,occurrence,22,35
grid10km,2004,occurrence,4,10
grid10km,1895,occurrence,9,13
grid10km,1883,occurrence,9,12
grid10km,1892,occurrence,13,16
grid10km,1905,occurrence,14,19
grid10km,1913,occurrence,10,24
grid10km,1898,occurrence,15,45
grid10km,1896,occurrence,22,49
grid10km,1897,occurrence,18,49
grid10km,1902,occurrence,15,30
grid10km,2013,occurrence,29,175
grid10km,2014,occurrence,29,215
grid10km,2015,occurrence,34,222
grid10km,1894,occurrence,8,9
grid10km,1960,occurrence,3,3
grid10km,1983,occurrence,3,4
grid10km,1995,occurrence,4,7
grid10km,2011,occurrence,7,48
grid10km,1976,occurrence,3,6
grid10km,2005,occurrence,14,289
grid10km,2006,occurrence,2,26
grid10km,1989,occurrence,3,4
grid10km,1994,occurrence,7,58
grid10km,1968,occurrence,3,5
grid10km,1971,occurrence,6,10
grid10km,2000,occurrence,7,34
grid10km,1980,occurrence,6,10
grid10km,1918,occurrence,8,11
grid10km,1937,occurrence,5,10
grid10km,1821,occurrence,5,10
grid10km,1817,occurrence,1,1
grid10km,1904,occurrence,7,11
grid10km,1899,occurrence,21,22
grid10km,2012,occurrence,2,12
grid10km,1974,occurrence,8,10
grid10km,1952,occurrence,8,8
grid10km,1977,occurrence,2,3
grid10km,2010,occurrence,3,13
grid10km,2024,occurrence,6,11
grid10km,1956,occurrence,4,5
grid10km,2009,occurrence,3,41
grid10km,2017,occurrence,1,4
grid10km,2018,occurrence,1,8
grid10km,2007,occurrence,1,3
grid10km,2021,occurrence,3,9
grid10km,2023,occurrence,2,3
grid10km,1958,occurrence,2,4
grid10km,1969,occurrence,3,3
grid10km,1970,occurrence,4,4
grid10km,1953,occurrence,3,3
grid10km,1880,occurrence,1,1
grid10km,1967,occurrence,1,2
grid10km,1999,occurrence,2,3
grid10km,1964,occurrence,2,4
grid10km,1963,occurrence,1,1
grid10km,1882,occurrence,5,11
grid10km,1979,occurrence,2,10
grid10km,1890,occurrence,15,17
grid10km,1891,occurrence,10,17
grid10km,1901,occurrence,16,33
grid10km,1881,occurrence,3,4
grid10km,1975,occurrence,1,1
grid10km,1984,occurrence,3,6
grid10km,1986,occurrence,3,5
grid10km,1884,occurrence,8,11
grid10km,1885,occurrence,6,8
grid10km,1893,occurrence,3,7
grid10km,1981,occurrence,5,15
grid10km,1985,occurrence,4,6
grid10km,1978,occurrence,2,7
grid10km,1996,occurrence,2,4
grid10km,1955,occurrence,3,5
grid10km,1888,occurrence,4,4
grid10km,1886,occurrence,3,5
grid10km,2001,occurrence,3,11
grid10km,1987,occurrence,2,3
grid10km,1954,occurrence,2,3
grid10km,1807,occurrence,1,1
grid10km,1870,occurrence,1,1
grid10km,1871,occurrence,1,2
grid10km,1869,occurrence,1,1
grid10km,1865,occurrence,2,3
grid10km,1858,occurrence,1,1
grid10km,1957,occurrence,1,3
grid10km,1993,occurrence,1,1
grid10km,1878,occurrence,1,2
grid10km,1862,occurrence,1,1
grid10km,1863,occurrence,1,2
grid10km,1959,occurrence,1,3
grid10km,1951,occurrence,1,1
grid10km,1997,occurrence,1,3
grid10km,1861,occurrence,1,1
grid10km,1982,occurrence,1,4
grid10km,1860,occurrence,1,1
grid10km,1877,occurrence,1,1
grid10km,1961,occurrence,1,5
grid10km,1988,occurrence,1,1
grid10km,1950,occurrence,1,1
grid10km,1842,occurrence,1,6
grid10km,1867,occurrence,1,1
grid10km,1872,occurrence,1,3
grid10km,1876,occurrence,1,1
grid10km,1849,occurrence,1,1
grid10km,1843,occurrence,1,2
grid10km,1868,occurrence,1,1
grid10km,1990,occurrence,6,22
grid10km,1873,occurrence,1,1
grid10km,2022,occurrence,1,5
grid10km,2025,occurrence,1,6
grid10km,1998,occurrence,1,15
grid10km,1807,all,32,54
grid10km,1937,preservedSpecimen,942,23545
grid10km,2016,preservedSpecimen,1023,31154
grid10km,1987,preservedSpecimen,981,24690
grid10km,1934,preservedSpecimen,1089,28447
grid10km,1975,preservedSpecimen,1034,28736
grid10km,1923,preservedSpecimen,653,20917
grid10km,1950,preservedSpecimen,893,27233
grid10km,1977,preservedSpecimen,987,27008
grid10km,1907,preservedSpecimen,497,12995
grid10km,1868,preservedSpecimen,328,4195
grid10km,1947,preservedSpecimen,923,25971
grid10km,1948,preservedSpecimen,910,28854
grid10km,1881,preservedSpecimen,446,8852
grid10km,1940,preservedSpecimen,690,15787
grid10km,1944,preservedSpecimen,856,26335
grid10km,1954,preservedSpecimen,804,34953
grid10km,1991,preservedSpecimen,940,32848
grid10km,1995,preservedSpecimen,1015,34114
grid10km,1878,preservedSpecimen,416,5665
grid10km,2003,preservedSpecimen,1264,48416
grid10km,1972,preservedSpecimen,967,36902
grid10km,2011,preservedSpecimen,1166,44020
grid10km,1986,preservedSpecimen,1030,24523
grid10km,1996,preservedSpecimen,1013,40941
grid10km,2007,preservedSpecimen,1284,49785
grid10km,1992,preservedSpecimen,960,35072
grid10km,2005,preservedSpecimen,1161,47526
grid10km,2021,preservedSpecimen,963,29082
grid10km,2025,preservedSpecimen,819,12131
grid10km,1970,preservedSpecimen,916,28648
grid10km,1989,preservedSpecimen,978,28689
grid10km,2014,preservedSpecimen,1080,41416
grid10km,2002,preservedSpecimen,1050,34470
grid10km,1964,preservedSpecimen,952,29983
grid10km,1985,preservedSpecimen,1004,25919
grid10km,2004,preservedSpecimen,1213,50539
grid10km,1968,preservedSpecimen,903,29350
grid10km,2018,preservedSpecimen,988,26784
grid10km,2012,preservedSpecimen,1131,39112
grid10km,1949,preservedSpecimen,881,29375
grid10km,1984,preservedSpecimen,1070,30824
grid10km,1884,preservedSpecimen,486,11843
grid10km,1887,preservedSpecimen,615,12842
grid10km,1903,preservedSpecimen,499,11669
grid10km,1891,preservedSpecimen,469,10329
grid10km,1998,preservedSpecimen,1110,38784
grid10km,1945,preservedSpecimen,922,25937
grid10km,1874,preservedSpecimen,370,5042
grid10km,1911,preservedSpecimen,590,15032
grid10km,1886,preservedSpecimen,494,12217
grid10km,1979,preservedSpecimen,951,24798
grid10km,1919,preservedSpecimen,661,18917
grid10km,1962,preservedSpecimen,865,23000
grid10km,2024,preservedSpecimen,1024,22904
grid10km,2013,preservedSpecimen,1097,33756
grid10km,2017,preservedSpecimen,1022,33652
grid10km,1997,preservedSpecimen,1042,39123
grid10km,1967,preservedSpecimen,1020,28508
grid10km,2006,preservedSpecimen,1227,42412
grid10km,1978,preservedSpecimen,980,27443
grid10km,1965,preservedSpecimen,957,27955
grid10km,1960,preservedSpecimen,894,23941
grid10km,2019,preservedSpecimen,1071,27026
grid10km,1971,preservedSpecimen,905,32658
grid10km,2009,preservedSpecimen,1134,38005
grid10km,2000,preservedSpecimen,1059,35845
grid10km,1966,preservedSpecimen,900,26206
grid10km,1942,preservedSpecimen,804,23718
grid10km,2023,preservedSpecimen,1085,28187
grid10km,1980,preservedSpecimen,985,32047
grid10km,1969,preservedSpecimen,885,33061
grid10km,1994,preservedSpecimen,1012,35871
grid10km,1876,preservedSpecimen,384,5357
grid10km,1999,preservedSpecimen,1077,35075
grid10km,1974,preservedSpecimen,1015,26681
grid10km,2015,preservedSpecimen,1108,32687
grid10km,1952,preservedSpecimen,816,32294
grid10km,2010,preservedSpecimen,1154,35709
grid10km,2022,preservedSpecimen,1083,36575
grid10km,1957,preservedSpecimen,780,25060
grid10km,1927,preservedSpecimen,1023,28504
grid10km,2001,preservedSpecimen,1070,31753
grid10km,1983,preservedSpecimen,922,26726
grid10km,1973,preservedSpecimen,967,30271
grid10km,2008,preservedSpecimen,1258,57059
grid10km,1982,preservedSpecimen,898,23563
grid10km,1961,preservedSpecimen,949,25854
grid10km,1990,preservedSpecimen,1051,31914
grid10km,1921,preservedSpecimen,698,16600
grid10km,1896,preservedSpecimen,546,8905
grid10km,2020,preservedSpecimen,970,34426
grid10km,1883,preservedSpecimen,467,10064
grid10km,1976,preservedSpecimen,977,24867
grid10km,1956,preservedSpecimen,819,27127
grid10km,1988,preservedSpecimen,1005,31186
grid10km,1866,preservedSpecimen,338,4305
grid10km,1920,preservedSpecimen,559,16055
grid10km,1935,preservedSpecimen,1005,25845
grid10km,1938,preservedSpecimen,899,28097
grid10km,1885,preservedSpecimen,541,12852
grid10km,1963,preservedSpecimen,944,33305
grid10km,1959,preservedSpecimen,848,22590
grid10km,1900,preservedSpecimen,472,11113
grid10km,1863,preservedSpecimen,364,3906
grid10km,1928,preservedSpecimen,920,26347
grid10km,1951,preservedSpecimen,868,23216
grid10km,1930,preservedSpecimen,871,21592
grid10km,1939,preservedSpecimen,822,23119
grid10km,1953,preservedSpecimen,822,27077
grid10km,1946,preservedSpecimen,1030,25015
grid10km,1993,preservedSpecimen,1070,39872
grid10km,1922,preservedSpecimen,824,23476
grid10km,1875,preservedSpecimen,360,5844
grid10km,1981,preservedSpecimen,957,31446
grid10km,1860,preservedSpecimen,309,3629
grid10km,1865,preservedSpecimen,400,4504
grid10km,1835,preservedSpecimen,182,696
grid10km,1931,preservedSpecimen,866,19201
grid10km,1846,preservedSpecimen,183,878
grid10km,1933,preservedSpecimen,882,18501
grid10km,1936,preservedSpecimen,836,18249
grid10km,1955,preservedSpecimen,779,27295
grid10km,1915,preservedSpecimen,687,18963
grid10km,1892,preservedSpecimen,552,11998
grid10km,1929,preservedSpecimen,886,21673
grid10km,1867,preservedSpecimen,355,5759
grid10km,1932,preservedSpecimen,910,25377
grid10km,1916,preservedSpecimen,617,20117
grid10km,1943,preservedSpecimen,862,25880
grid10km,1890,preservedSpecimen,558,12132
grid10km,1924,preservedSpecimen,712,20505
grid10km,1877,preservedSpecimen,424,6255
grid10km,1958,preservedSpecimen,786,18444
grid10km,1941,preservedSpecimen,803,19321
grid10km,1917,preservedSpecimen,584,18856
grid10km,1901,preservedSpecimen,386,10185
grid10km,1918,preservedSpecimen,609,19488
grid10km,1908,preservedSpecimen,519,12900
grid10km,1888,preservedSpecimen,542,11601
grid10km,1879,preservedSpecimen,407,6237
grid10km,1926,preservedSpecimen,904,29270
grid10km,1912,preservedSpecimen,610,17363
grid10km,1859,preservedSpecimen,334,5542
grid10km,1856,preservedSpecimen,293,2686
grid10km,1913,preservedSpecimen,580,19524
grid10km,1906,preservedSpecimen,484,12979
grid10km,1925,preservedSpecimen,923,25093
grid10km,1902,preservedSpecimen,485,12977
grid10km,1910,preservedSpecimen,609,14626
grid10km,1869,preservedSpecimen,370,4623
grid10km,1904,preservedSpecimen,489,11875
grid10km,1862,preservedSpecimen,320,2921
grid10km,1882,preservedSpecimen,441,10838
grid10km,1898,preservedSpecimen,492,11898
grid10km,1830,preservedSpecimen,81,171
grid10km,1894,preservedSpecimen,481,10587
grid10km,1909,preservedSpecimen,603,14187
grid10km,1914,preservedSpecimen,589,18340
grid10km,1842,preservedSpecimen,188,1021
grid10km,1895,preservedSpecimen,561,10176
grid10km,1880,preservedSpecimen,383,7166
grid10km,1893,preservedSpecimen,456,10791
grid10km,1899,preservedSpecimen,413,8636
grid10km,1889,preservedSpecimen,569,12323
grid10km,1844,preservedSpecimen,153,573
grid10km,1861,preservedSpecimen,299,3470
grid10km,1864,preservedSpecimen,321,4641
grid10km,1814,preservedSpecimen,17,30
grid10km,1839,preservedSpecimen,117,408
grid10km,1823,preservedSpecimen,86,196
grid10km,1836,preservedSpecimen,171,945
grid10km,1873,preservedSpecimen,306,4945
grid10km,1870,preservedSpecimen,382,4921
grid10km,1905,preservedSpecimen,567,13603
grid10km,1897,preservedSpecimen,533,10491
grid10km,1855,preservedSpecimen,226,1802
grid10km,1837,preservedSpecimen,145,473
grid10km,1872,preservedSpecimen,357,5328
grid10km,1853,preservedSpecimen,241,2259
grid10km,1851,preservedSpecimen,199,1309
grid10km,1857,preservedSpecimen,259,2446
grid10km,1871,preservedSpecimen,390,4212
grid10km,1838,preservedSpecimen,131,404
grid10km,1809,preservedSpecimen,61,150
grid10km,1843,preservedSpecimen,165,606
grid10km,1849,preservedSpecimen,176,964
grid10km,1807,preservedSpecimen,31,53
grid10km,1825,preservedSpecimen,88,181
grid10km,1821,preservedSpecimen,95,427
grid10km,1834,preservedSpecimen,123,377
grid10km,1847,preservedSpecimen,169,722
grid10km,1852,preservedSpecimen,274,1424
grid10km,1848,preservedSpecimen,143,774
grid10km,1841,preservedSpecimen,178,675
grid10km,1850,preservedSpecimen,223,1177
grid10km,1832,preservedSpecimen,158,468
grid10km,1840,preservedSpecimen,230,1490
grid10km,1828,preservedSpecimen,80,261
grid10km,1858,preservedSpecimen,252,2152
grid10km,1826,preservedSpecimen,50,91
grid10km,1854,preservedSpecimen,208,1285
grid10km,1833,preservedSpecimen,116,279
grid10km,1845,preservedSpecimen,165,739
grid10km,1816,preservedSpecimen,27,40
grid10km,1822,preservedSpecimen,77,191
grid10km,1810,preservedSpecimen,54,90
grid10km,1820,preservedSpecimen,82,248
grid10km,1827,preservedSpecimen,55,104
grid10km,1829,preservedSpecimen,78,148
grid10km,1831,preservedSpecimen,94,266
grid10km,1818,preservedSpecimen,67,193
grid10km,1819,preservedSpecimen,111,266
grid10km,1811,preservedSpecimen,10,13
grid10km,1801,preservedSpecimen,17,22
grid10km,1800,preservedSpecimen,28,44
grid10km,1813,preservedSpecimen,15,21
grid10km,1803,preservedSpecimen,11,15
grid10km,1806,preservedSpecimen,24,39
grid10km,1817,preservedSpecimen,30,60
grid10km,1729,preservedSpecimen,2,3
grid10km,1815,preservedSpecimen,34,52
grid10km,1808,preservedSpecimen,16,20
grid10km,1804,preservedSpecimen,15,24
grid10km,1799,preservedSpecimen,2,2
grid10km,1797,preservedSpecimen,3,3
grid10km,1812,preservedSpecimen,12,14
grid10km,1824,preservedSpecimen,40,61
grid10km,1793,preservedSpecimen,1,1
grid10km,1802,preservedSpecimen,14,17
grid10km,1805,preservedSpecimen,4,6
grid10km,1778,preservedSpecimen,1,2
grid10km,1794,preservedSpecimen,1,1
grid10km,1779,preservedSpecimen,2,2
grid10km,1798,preservedSpecimen,2,2
grid10km,1772,preservedSpecimen,1,1
grid10km,1773,preservedSpecimen,1,1
grid10km,1758,preservedSpecimen,1,1
grid10km,1790,preservedSpecimen,1,1
grid10km,1785,preservedSpecimen,1,1
grid10km,1755,preservedSpecimen,1,1
grid10km,1771,preservedSpecimen,1,1
grid10km,1791,preservedSpecimen,1,1
grid10km,1719,preservedSpecimen,1,1
grid10km,1803,all,11,15
grid10km,1806,all,24,39
grid10km,1729,all,2,3
grid10km,1799,all,2,2
grid10km,1793,all,1,1
grid10km,1802,all,14,17
grid10km,1778,all,1,2
grid10km,1794,all,1,1
grid10km,1772,all,1,1
grid10km,1758,all,1,1
grid10km,1785,all,1,1
grid10km,1755,all,1,1
grid10km,1719,all,1,1
