grid,year,basisofrecord,n_families,total_occurrences
grid10km,1898,all,498,12310
grid10km,1915,all,712,19582
grid10km,1891,all,477,10667
grid10km,1896,all,554,9180
grid10km,1957,all,844,42333
grid10km,1904,all,542,13438
grid10km,1895,all,575,10414
grid10km,1906,all,546,14353
grid10km,1885,all,554,13293
grid10km,1897,all,540,10737
grid10km,1925,all,983,27857
grid10km,1954,all,890,48910
grid10km,1908,all,572,14376
grid10km,1888,all,555,12184
grid10km,1944,all,919,29603
grid10km,1910,all,681,17901
grid10km,1938,all,965,30549
grid10km,1977,all,1177,316316
grid10km,1979,all,1117,280652
grid10km,1911,all,637,15914
grid10km,1940,all,757,17734
grid10km,1958,all,843,34478
grid10km,1951,all,965,27572
grid10km,1968,all,1007,112559
grid10km,1982,all,1082,450440
grid10km,1980,all,1175,353247
grid10km,1970,all,1020,148465
grid10km,1882,all,463,11157
grid10km,1880,all,413,7453
grid10km,1945,all,1000,29428
grid10km,1960,all,955,54959
grid10km,1963,all,1005,94062
grid10km,1989,all,1270,736360
grid10km,1948,all,1003,34643
grid10km,2008,all,1730,3712272
grid10km,1972,all,1129,216183
grid10km,1974,all,1148,230324
grid10km,1996,all,1385,994332
grid10km,1964,all,1031,100346
grid10km,1955,all,866,38858
grid10km,1956,all,888,37219
grid10km,1877,all,438,6587
grid10km,1962,all,927,76899
grid10km,1971,all,1012,175460
grid10km,1976,all,1091,327807
grid10km,1981,all,1169,414808
grid10km,1966,all,989,110123
grid10km,1984,all,1263,564887
grid10km,1883,all,478,10456
grid10km,1879,all,417,6559
grid10km,1926,all,978,32392
grid10km,1941,all,875,22013
grid10km,2011,all,1770,4169095
grid10km,1965,all,1075,105419
grid10km,1978,all,1127,316572
grid10km,1973,all,1098,221736
grid10km,2021,all,2098,6937143
grid10km,1993,all,1531,1004035
grid10km,1975,all,1157,276014
grid10km,2001,all,1488,1343894
grid10km,2002,all,1450,1524183
grid10km,2004,all,1595,2214378
grid10km,1959,all,894,45754
grid10km,1950,all,970,32957
grid10km,1827,all,84,151
grid10km,1961,all,1007,68564
grid10km,2007,all,1872,3361720
grid10km,2005,all,1566,2365319
grid10km,1942,all,859,25487
grid10km,1871,all,401,4390
grid10km,2019,humanObservation,1722,5464435
grid10km,2023,humanObservation,1902,7151261
grid10km,2013,humanObservation,1412,4212243
grid10km,2021,humanObservation,1830,6826219
grid10km,2025,humanObservation,1846,6989175
grid10km,2005,humanObservation,1169,2297036
grid10km,1999,humanObservation,1077,967792
grid10km,2018,humanObservation,1670,4895938
grid10km,2008,humanObservation,1347,3594812
grid10km,2015,humanObservation,1552,4311404
grid10km,2020,humanObservation,1769,6627391
grid10km,2002,humanObservation,1086,1474084
grid10km,2024,humanObservation,1912,7423822
grid10km,2014,humanObservation,1484,4570406
grid10km,2017,humanObservation,1588,4774330
grid10km,1993,humanObservation,1231,952166
grid10km,2010,humanObservation,1389,3878012
grid10km,1992,humanObservation,973,832749
grid10km,2011,humanObservation,1428,4063262
grid10km,2000,humanObservation,1069,1130344
grid10km,1998,humanObservation,1073,962537
grid10km,1990,humanObservation,993,858474
grid10km,1994,humanObservation,1267,888369
grid10km,1995,humanObservation,1001,916759
grid10km,2022,humanObservation,1844,7048725
grid10km,1989,humanObservation,942,705452
grid10km,1986,humanObservation,783,600259
grid10km,2004,humanObservation,1200,2140826
grid10km,2006,humanObservation,1391,2846158
grid10km,2016,humanObservation,1522,4512449
grid10km,2009,humanObservation,1352,3742948
grid10km,1966,humanObservation,372,83870
grid10km,1980,humanObservation,723,320571
grid10km,2012,humanObservation,1376,4198524
grid10km,1996,humanObservation,1044,942384
grid10km,2001,humanObservation,1117,1294127
grid10km,1988,humanObservation,984,667616
grid10km,1987,humanObservation,891,570638
grid10km,2007,humanObservation,1528,3271551
grid10km,1985,humanObservation,783,563737
grid10km,1979,humanObservation,640,255185
grid10km,1983,humanObservation,748,407648
grid10km,2003,humanObservation,1215,1757116
grid10km,1982,humanObservation,737,426545
grid10km,1991,humanObservation,911,754788
grid10km,1977,humanObservation,761,289143
grid10km,1924,humanObservation,185,1340
grid10km,1981,humanObservation,767,383055
grid10km,1997,humanObservation,1095,936539
grid10km,1984,humanObservation,787,532798
grid10km,1965,humanObservation,444,77394
grid10km,1962,humanObservation,332,53822
grid10km,1964,humanObservation,377,70323
grid10km,1933,humanObservation,254,4340
grid10km,1967,humanObservation,385,73924
grid10km,1945,humanObservation,239,3344
grid10km,1958,humanObservation,272,15953
grid10km,1973,humanObservation,542,190859
grid10km,1976,humanObservation,624,302912
grid10km,1946,humanObservation,321,6863
grid10km,1960,humanObservation,377,30983
grid10km,1974,humanObservation,628,203607
grid10km,1930,humanObservation,252,5245
grid10km,1951,humanObservation,303,4308
grid10km,1927,humanObservation,441,3628
grid10km,1968,humanObservation,420,83125
grid10km,1938,humanObservation,216,2380
grid10km,1952,humanObservation,269,3529
grid10km,1949,humanObservation,347,5302
grid10km,1975,humanObservation,649,247247
grid10km,1936,humanObservation,226,2584
grid10km,1925,humanObservation,349,2638
grid10km,1969,humanObservation,413,83400
grid10km,1947,humanObservation,293,5215
grid10km,1950,humanObservation,359,5708
grid10km,1937,humanObservation,292,15438
grid10km,1970,humanObservation,530,119788
grid10km,1944,humanObservation,222,3116
grid10km,1972,humanObservation,597,178738
grid10km,1954,humanObservation,360,13811
grid10km,1961,humanObservation,323,42670
grid10km,1971,humanObservation,486,142756
grid10km,1978,humanObservation,665,289100
grid10km,1928,humanObservation,335,2056
grid10km,1956,humanObservation,300,10070
grid10km,1940,humanObservation,210,1924
grid10km,1908,humanObservation,118,1102
grid10km,1888,humanObservation,94,563
grid10km,1926,humanObservation,408,3001
grid10km,1929,humanObservation,351,2911
grid10km,1919,humanObservation,190,1434
grid10km,1943,humanObservation,223,2958
grid10km,1939,humanObservation,199,1871
grid10km,1935,humanObservation,346,3576
grid10km,1955,humanObservation,332,11547
grid10km,1920,humanObservation,164,1332
grid10km,1957,humanObservation,297,17104
grid10km,1963,humanObservation,374,60579
grid10km,1921,humanObservation,227,1199
grid10km,1948,humanObservation,362,5535
grid10km,1923,humanObservation,224,2776
grid10km,1959,humanObservation,322,23121
grid10km,1922,humanObservation,272,1807
grid10km,1953,humanObservation,259,5552
grid10km,1900,humanObservation,119,527
grid10km,1913,humanObservation,108,552
grid10km,1917,humanObservation,117,666
grid10km,1887,humanObservation,102,807
grid10km,1811,humanObservation,29,69
grid10km,1905,humanObservation,104,1137
grid10km,1817,humanObservation,90,904
grid10km,1842,humanObservation,110,595
grid10km,1901,humanObservation,64,223
grid10km,1874,humanObservation,60,154
grid10km,1899,humanObservation,59,172
grid10km,1885,humanObservation,71,336
grid10km,1880,humanObservation,78,241
grid10km,1814,humanObservation,103,1431
grid10km,1873,humanObservation,58,149
grid10km,1819,humanObservation,71,647
grid10km,1931,humanObservation,239,1613
grid10km,1916,humanObservation,103,391
grid10km,1834,humanObservation,56,194
grid10km,1910,humanObservation,130,2254
grid10km,1912,humanObservation,110,504
grid10km,1889,humanObservation,111,750
grid10km,1825,humanObservation,97,1699
grid10km,1824,humanObservation,77,358
grid10km,1826,humanObservation,86,941
grid10km,1828,humanObservation,69,407
grid10km,1840,humanObservation,92,1256
grid10km,1841,humanObservation,115,1105
grid10km,1886,humanObservation,90,525
grid10km,1902,humanObservation,78,365
grid10km,1818,humanObservation,92,1061
grid10km,1821,humanObservation,65,274
grid10km,1932,humanObservation,306,3605
grid10km,1906,humanObservation,98,866
grid10km,1847,humanObservation,103,794
grid10km,1907,humanObservation,113,966
grid10km,1871,humanObservation,62,152
grid10km,1903,humanObservation,100,707
grid10km,1909,humanObservation,96,598
grid10km,1865,humanObservation,42,94
grid10km,1849,humanObservation,80,247
grid10km,1861,humanObservation,47,239
grid10km,1858,humanObservation,56,386
grid10km,1915,humanObservation,127,598
grid10km,1883,humanObservation,89,376
grid10km,1942,humanObservation,185,1711
grid10km,1844,humanObservation,91,336
grid10km,1884,humanObservation,81,399
grid10km,1941,humanObservation,247,2628
grid10km,1845,humanObservation,103,343
grid10km,1904,humanObservation,102,1033
grid10km,1898,humanObservation,71,357
grid10km,1911,humanObservation,122,786
grid10km,1816,humanObservation,99,874
grid10km,1843,humanObservation,84,302
grid10km,1860,humanObservation,46,123
grid10km,1820,humanObservation,63,170
grid10km,1856,humanObservation,53,183
grid10km,1876,humanObservation,61,180
grid10km,1848,humanObservation,53,105
grid10km,1894,humanObservation,81,467
grid10km,1866,humanObservation,46,92
grid10km,1891,humanObservation,56,226
grid10km,1857,humanObservation,40,136
grid10km,1852,humanObservation,41,92
grid10km,1823,humanObservation,64,223
grid10km,1890,humanObservation,93,572
grid10km,1867,humanObservation,65,256
grid10km,1892,humanObservation,63,198
grid10km,1831,humanObservation,9,11
grid10km,1863,humanObservation,48,125
grid10km,1934,humanObservation,360,2582
grid10km,1822,humanObservation,28,38
grid10km,1918,humanObservation,118,528
grid10km,1855,humanObservation,41,64
grid10km,1864,humanObservation,59,207
grid10km,1859,humanObservation,22,38
grid10km,1833,humanObservation,66,222
grid10km,1862,humanObservation,43,154
grid10km,1815,humanObservation,80,602
grid10km,1877,humanObservation,62,328
grid10km,1829,humanObservation,89,675
grid10km,1810,humanObservation,27,49
grid10km,1800,humanObservation,33,135
grid10km,1835,humanObservation,78,557
grid10km,1836,humanObservation,52,212
grid10km,1896,humanObservation,63,174
grid10km,1846,humanObservation,87,291
grid10km,1881,humanObservation,66,265
grid10km,1895,humanObservation,58,204
grid10km,1868,humanObservation,57,152
grid10km,1878,humanObservation,82,313
grid10km,1897,humanObservation,59,179
grid10km,1893,humanObservation,79,496
grid10km,1882,humanObservation,60,153
grid10km,1914,humanObservation,131,454
grid10km,1850,humanObservation,72,153
grid10km,1832,humanObservation,14,21
grid10km,1853,humanObservation,31,52
grid10km,1838,humanObservation,30,56
grid10km,1851,humanObservation,52,105
grid10km,1879,humanObservation,73,314
grid10km,1790,humanObservation,34,73
grid10km,1870,humanObservation,64,159
grid10km,1875,humanObservation,64,190
grid10km,1742,humanObservation,5,9
grid10km,1779,humanObservation,2,2
grid10km,1774,humanObservation,28,51
grid10km,1837,humanObservation,35,64
grid10km,1791,humanObservation,4,5
grid10km,1830,humanObservation,49,99
grid10km,1812,humanObservation,17,25
grid10km,1839,humanObservation,31,50
grid10km,1872,humanObservation,52,108
grid10km,1756,humanObservation,1,1
grid10km,1869,humanObservation,54,103
grid10km,1773,humanObservation,9,12
grid10km,1854,humanObservation,19,30
grid10km,1827,humanObservation,35,46
grid10km,1798,humanObservation,3,3
grid10km,1745,humanObservation,17,29
grid10km,1646,humanObservation,1,1
grid10km,1703,humanObservation,1,1
grid10km,1813,humanObservation,17,23
grid10km,1749,humanObservation,5,5
grid10km,1764,humanObservation,2,3
grid10km,1777,humanObservation,1,1
grid10km,1741,humanObservation,13,17
grid10km,1788,humanObservation,1,1
grid10km,1759,humanObservation,1,1
grid10km,1787,humanObservation,2,2
grid10km,1783,humanObservation,5,6
grid10km,1709,humanObservation,1,1
grid10km,1760,humanObservation,1,1
grid10km,1782,humanObservation,6,6
grid10km,1797,humanObservation,1,1
grid10km,1771,humanObservation,2,2
grid10km,1694,humanObservation,1,1
grid10km,1775,humanObservation,1,1
grid10km,1700,humanObservation,1,1
grid10km,1732,humanObservation,2,3
grid10km,1681,humanObservation,1,1
grid10km,1780,humanObservation,4,5
grid10km,1808,humanObservation,1,1
grid10km,1698,humanObservation,1,1
grid10km,1739,humanObservation,1,1
grid10km,1804,humanObservation,2,3
grid10km,1746,humanObservation,2,2
grid10km,1805,humanObservation,2,2
grid10km,1763,humanObservation,1,1
grid10km,1697,humanObservation,1,1
grid10km,1670,humanObservation,1,1
grid10km,1801,humanObservation,1,1
grid10km,1809,humanObservation,1,1
grid10km,2019,all,3031,6707255
grid10km,2023,all,2126,7226918
grid10km,2013,all,1766,4307797
grid10km,2025,all,1866,7001677
grid10km,1999,all,1451,1016593
grid10km,2018,all,2010,4977430
grid10km,2015,all,2237,4406378
grid10km,2020,all,2478,6726795
grid10km,2024,all,2037,7465457
grid10km,2014,all,1953,4710746
grid10km,2017,all,2253,4866278
grid10km,2010,all,1728,3977273
grid10km,1992,all,1240,873287
grid10km,2000,all,1447,1196999
grid10km,1998,all,1471,1013034
grid10km,1990,all,1347,894391
grid10km,1994,all,1549,937647
grid10km,1995,all,1349,965940
grid10km,2022,all,2193,7160302
grid10km,2006,all,1701,2921769
grid10km,2016,all,2868,4684797
grid10km,2009,all,1793,3842816
grid10km,2012,all,1775,4299181
grid10km,1987,all,1228,597501
grid10km,1985,all,1193,590841
grid10km,1983,all,1102,435357
grid10km,2003,all,1640,1826142
grid10km,1991,all,1187,792697
grid10km,1997,all,1404,987474
grid10km,1900,all,511,11681
grid10km,1811,all,35,82
grid10km,1817,all,102,965
grid10km,1842,all,221,1622
grid10km,1901,all,391,10441
grid10km,1874,all,385,5196
grid10km,1899,all,425,8830
grid10km,1814,all,108,1461
grid10km,1873,all,323,5095
grid10km,1819,all,149,913
grid10km,1834,all,149,571
grid10km,1825,all,159,1880
grid10km,1824,all,105,419
grid10km,1826,all,115,1032
grid10km,1828,all,115,668
grid10km,1840,all,265,2757
grid10km,1841,all,232,1780
grid10km,1818,all,123,1254
grid10km,1821,all,125,711
grid10km,1847,all,204,1516
grid10km,1903,all,561,13244
grid10km,1865,all,412,4602
grid10km,1849,all,213,1213
grid10km,1861,all,306,3710
grid10km,1858,all,259,2539
grid10km,1844,all,188,909
grid10km,1845,all,214,1082
grid10km,1816,all,113,914
grid10km,1843,all,201,910
grid10km,1860,all,321,3753
grid10km,1820,all,117,418
grid10km,1856,all,307,2869
grid10km,1876,all,403,5540
grid10km,1848,all,168,879
grid10km,1866,all,342,4397
grid10km,1857,all,265,2582
grid10km,1852,all,290,1516
grid10km,1823,all,127,419
grid10km,1867,all,364,6016
grid10km,1831,all,101,277
grid10km,1863,all,373,4033
grid10km,1822,all,98,229
grid10km,1855,all,244,1866
grid10km,1864,all,332,4848
grid10km,1859,all,340,5580
grid10km,1833,all,157,501
grid10km,1862,all,335,3076
grid10km,1815,all,97,654
grid10km,1829,all,136,823
grid10km,1810,all,74,139
grid10km,1800,all,56,179
grid10km,1835,all,212,1253
grid10km,1836,all,190,1157
grid10km,1846,all,214,1169
grid10km,1868,all,336,4348
grid10km,1878,all,422,5980
grid10km,1850,all,261,1330
grid10km,1832,all,170,499
grid10km,1853,all,256,2311
grid10km,1838,all,152,460
grid10km,1851,all,228,1414
grid10km,1790,all,35,74
grid10km,1870,all,391,5081
grid10km,1875,all,379,6034
grid10km,1742,all,5,9
grid10km,1779,all,4,4
grid10km,1774,all,28,51
grid10km,1837,all,161,537
grid10km,1791,all,5,6
grid10km,1830,all,117,270
grid10km,1812,all,27,39
grid10km,1839,all,128,458
grid10km,1872,all,373,5439
grid10km,1756,all,1,1
grid10km,1869,all,379,4727
grid10km,1773,all,10,13
grid10km,1854,all,218,1315
grid10km,1798,all,4,5
grid10km,1745,all,17,29
grid10km,1646,all,1,1
grid10km,1703,all,1,1
grid10km,1813,all,30,44
grid10km,1749,all,5,5
grid10km,1764,all,2,3
grid10km,1777,all,1,1
grid10km,1741,all,13,17
grid10km,1788,all,1,1
grid10km,1759,all,1,1
grid10km,1787,all,2,2
grid10km,1783,all,5,6
grid10km,1709,all,1,1
grid10km,1760,all,1,1
grid10km,1782,all,6,6
grid10km,1797,all,4,4
grid10km,1771,all,3,3
grid10km,1694,all,1,1
grid10km,1775,all,1,1
grid10km,1700,all,1,1
grid10km,1732,all,2,3
grid10km,1681,all,1,1
grid10km,1780,all,4,5
grid10km,1808,all,17,21
grid10km,1698,all,1,1
grid10km,1739,all,1,1
grid10km,1804,all,16,27
grid10km,1746,all,2,2
grid10km,1805,all,6,8
grid10km,1763,all,1,1
grid10km,1697,all,1,1
grid10km,1670,all,1,1
grid10km,1801,all,17,23
grid10km,1809,all,62,151
grid10km,2001,livingSpecimen,5,130
grid10km,2000,livingSpecimen,6,150
grid10km,2013,livingSpecimen,22,59
grid10km,2018,livingSpecimen,6,9
grid10km,2003,livingSpecimen,4,29
grid10km,1997,livingSpecimen,2,3
grid10km,2008,livingSpecimen,13,25
grid10km,2009,livingSpecimen,18,43
grid10km,2004,livingSpecimen,8,69
grid10km,1979,livingSpecimen,3,230
grid10km,2011,livingSpecimen,11,25
grid10km,2016,livingSpecimen,6,100
grid10km,2012,livingSpecimen,9,47
grid10km,2015,livingSpecimen,3,6
grid10km,1966,livingSpecimen,1,3
grid10km,1968,livingSpecimen,1,1
grid10km,1971,livingSpecimen,1,1
grid10km,1967,livingSpecimen,1,1
grid10km,1964,livingSpecimen,1,1
grid10km,1963,livingSpecimen,2,4
grid10km,1952,livingSpecimen,1,4
grid10km,1953,livingSpecimen,1,6
grid10km,1954,livingSpecimen,1,1
grid10km,1961,livingSpecimen,2,5
grid10km,1965,livingSpecimen,1,8
grid10km,1975,livingSpecimen,2,2
grid10km,1986,livingSpecimen,1,1
grid10km,1993,livingSpecimen,1,1
grid10km,1998,livingSpecimen,2,30
grid10km,1951,livingSpecimen,1,1
grid10km,1955,livingSpecimen,1,1
grid10km,1958,livingSpecimen,1,1
grid10km,1962,livingSpecimen,1,1
grid10km,1978,livingSpecimen,1,1
grid10km,1990,livingSpecimen,1,1
grid10km,1989,livingSpecimen,1,1
grid10km,2017,livingSpecimen,5,7
grid10km,1999,livingSpecimen,3,14
grid10km,2010,livingSpecimen,20,52
grid10km,2007,livingSpecimen,6,141
grid10km,1991,livingSpecimen,2,3
grid10km,1969,livingSpecimen,1,7
grid10km,2019,livingSpecimen,2,3
grid10km,2021,livingSpecimen,2,5
grid10km,1983,livingSpecimen,2,73
grid10km,1981,livingSpecimen,2,40
grid10km,1980,livingSpecimen,2,189
grid10km,1985,livingSpecimen,1,34
grid10km,1982,livingSpecimen,3,55
grid10km,2002,livingSpecimen,6,48
grid10km,1987,livingSpecimen,2,13
grid10km,2005,livingSpecimen,5,153
grid10km,1950,livingSpecimen,1,1
grid10km,2014,livingSpecimen,2,2
grid10km,2006,livingSpecimen,2,2
grid10km,2020,livingSpecimen,1,3
grid10km,1972,livingSpecimen,1,1
grid10km,2018,machineObservation,37,2563
grid10km,2014,machineObservation,9,20
grid10km,2023,machineObservation,83,8757
grid10km,2024,machineObservation,81,1755
grid10km,2016,machineObservation,21,32506
grid10km,2025,machineObservation,26,116
grid10km,1997,machineObservation,12,407
grid10km,1999,machineObservation,12,781
grid10km,2000,machineObservation,11,442
grid10km,2001,machineObservation,11,271
grid10km,2004,machineObservation,11,169
grid10km,2005,machineObservation,12,141
grid10km,2009,machineObservation,20,182
grid10km,2015,machineObservation,21,1253
grid10km,2017,machineObservation,18,3021
grid10km,2019,machineObservation,30,1180
grid10km,2020,machineObservation,23,2950
grid10km,2021,machineObservation,27,2404
grid10km,2022,machineObservation,81,4965
grid10km,2006,machineObservation,10,67
grid10km,2002,machineObservation,9,92
grid10km,1967,machineObservation,1,7
grid10km,1965,machineObservation,1,7
grid10km,1966,machineObservation,2,2
grid10km,1963,machineObservation,1,1
grid10km,2013,machineObservation,3,218
grid10km,2012,machineObservation,4,526
grid10km,2010,machineObservation,2,724
grid10km,2011,machineObservation,3,901
grid10km,2007,machineObservation,1,1
grid10km,2011,materialCitation,6,9
grid10km,2014,materialCitation,14,39
grid10km,2005,materialCitation,8,20
grid10km,1969,materialCitation,1,8
grid10km,1946,materialCitation,2,3
grid10km,1972,materialCitation,1,1
grid10km,1936,materialCitation,1,2
grid10km,2013,materialCitation,4,31
grid10km,1935,materialCitation,2,4
grid10km,1942,materialCitation,2,4
grid10km,1904,materialCitation,1,1
grid10km,2017,materialCitation,10,85
grid10km,2004,materialCitation,7,19
grid10km,2015,materialCitation,7,17
grid10km,2006,materialCitation,8,14
grid10km,1939,materialCitation,3,6
grid10km,1944,materialCitation,4,5
grid10km,1917,materialCitation,1,1
grid10km,1964,materialCitation,2,3
grid10km,1937,materialCitation,1,2
grid10km,1954,materialCitation,3,6
grid10km,2016,materialCitation,16,74
grid10km,2003,materialCitation,7,18
grid10km,2018,materialCitation,10,33
grid10km,1965,materialCitation,1,2
grid10km,1973,materialCitation,3,4
grid10km,1974,materialCitation,2,9
grid10km,1975,materialCitation,2,5
grid10km,1907,materialCitation,1,1
grid10km,1941,materialCitation,3,4
grid10km,2007,materialCitation,7,17
grid10km,1966,materialCitation,1,2
grid10km,1997,materialCitation,2,6
grid10km,1933,materialCitation,5,5
grid10km,2009,materialCitation,5,7
grid10km,1996,materialCitation,2,5
grid10km,2012,materialCitation,7,11
grid10km,2019,materialCitation,7,23
grid10km,1977,materialCitation,2,4
grid10km,1938,materialCitation,2,3
grid10km,1980,materialCitation,1,2
grid10km,2008,materialCitation,4,6
grid10km,1991,materialCitation,3,7
grid10km,1992,materialCitation,2,4
grid10km,2000,materialCitation,3,4
grid10km,1994,materialCitation,4,5
grid10km,1971,materialCitation,1,8
grid10km,1990,materialCitation,2,3
grid10km,1976,materialCitation,1,1
grid10km,1947,materialCitation,3,3
grid10km,1956,materialCitation,1,1
grid10km,1961,materialCitation,2,2
grid10km,1903,materialCitation,1,1
grid10km,1949,materialCitation,1,1
grid10km,1955,materialCitation,2,2
grid10km,1945,materialCitation,2,4
grid10km,1952,materialCitation,3,4
grid10km,1950,materialCitation,1,1
grid10km,1985,materialCitation,1,1
grid10km,2001,materialCitation,3,4
