grid,year,basisofrecord,total_occurrences.x,n_months,n_cells_sampled,total_occurrences.y
grid10km,1646,all,1,1,0,
grid10km,1646,humanObservation,1,1,0,
grid10km,1670,all,1,1,0,
grid10km,1670,humanObservation,1,1,0,
grid10km,1681,all,1,1,0,
grid10km,1681,humanObservation,1,1,0,
grid10km,1694,all,1,1,0,
grid10km,1694,humanObservation,1,1,0,
grid10km,1697,all,1,1,0,
grid10km,1697,humanObservation,1,1,0,
grid10km,1698,all,1,1,0,
grid10km,1698,humanObservation,1,1,0,
grid10km,1700,all,1,1,0,
grid10km,1700,humanObservation,1,1,0,
grid10km,1703,all,1,1,0,
grid10km,1703,humanObservation,1,1,0,
grid10km,1709,all,1,1,0,
grid10km,1709,humanObservation,1,1,0,
grid10km,1719,all,1,1,0,
grid10km,1719,preservedSpecimen,1,1,0,
grid10km,1729,all,3,1,0,
grid10km,1729,preservedSpecimen,3,1,0,
grid10km,1732,all,3,1,0,
grid10km,1732,humanObservation,3,1,0,
grid10km,1739,all,1,1,0,
grid10km,1739,humanObservation,1,1,0,
grid10km,1741,all,17,3,0,
grid10km,1741,humanObservation,17,3,0,
grid10km,1742,all,9,3,0,
grid10km,1742,humanObservation,9,3,0,
grid10km,1745,all,29,3,0,
grid10km,1745,humanObservation,29,3,0,
grid10km,1746,all,2,1,0,
grid10km,1746,humanObservation,2,1,0,
grid10km,1749,all,5,3,0,
grid10km,1749,humanObservation,5,3,0,
grid10km,1755,all,1,1,0,
grid10km,1755,preservedSpecimen,1,1,0,
grid10km,1756,all,1,1,0,
grid10km,1756,humanObservation,1,1,0,
grid10km,1758,all,1,1,0,
grid10km,1758,preservedSpecimen,1,1,0,
grid10km,1759,all,1,1,0,
grid10km,1759,humanObservation,1,1,0,
grid10km,1760,all,1,1,0,
grid10km,1760,humanObservation,1,1,0,
grid10km,1763,all,1,1,0,
grid10km,1763,humanObservation,1,1,0,
grid10km,1764,all,3,1,0,
grid10km,1764,humanObservation,3,1,0,
grid10km,1771,all,3,1,0,
grid10km,1771,humanObservation,2,1,0,
grid10km,1771,preservedSpecimen,1,1,0,
grid10km,1772,all,1,1,0,
grid10km,1772,preservedSpecimen,1,1,0,
grid10km,1773,all,13,3,0,
grid10km,1773,humanObservation,12,2,0,
grid10km,1773,preservedSpecimen,1,1,0,
grid10km,1774,all,51,2,0,
grid10km,1774,humanObservation,51,2,0,
grid10km,1775,all,1,1,0,
grid10km,1775,humanObservation,1,1,0,
grid10km,1777,all,1,1,0,
grid10km,1777,humanObservation,1,1,0,
grid10km,1778,all,2,1,0,
grid10km,1778,preservedSpecimen,2,1,0,
grid10km,1779,all,4,4,0,
grid10km,1779,humanObservation,2,2,0,
grid10km,1779,preservedSpecimen,2,2,0,
grid10km,1780,all,5,3,0,
grid10km,1780,humanObservation,5,3,0,
grid10km,1782,all,6,2,0,
grid10km,1782,humanObservation,6,2,0,
grid10km,1783,all,6,5,0,
grid10km,1783,humanObservation,6,5,0,
grid10km,1785,all,1,1,0,
grid10km,1785,preservedSpecimen,1,1,0,
grid10km,1787,all,2,2,0,
grid10km,1787,humanObservation,2,2,0,
grid10km,1788,all,1,1,0,
grid10km,1788,humanObservation,1,1,0,
grid10km,1790,all,74,8,0,
