grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE423N441,1882-09-01,1720,1,Not sampled in 143.3 years
grid10km,10kmE408N385,1883-06-01,1711,1,Not sampled in 142.6 years
grid10km,10kmE471N355,1883-07-01,1710,1,Not sampled in 142.5 years
grid10km,10kmE430N440,1883-07-01,1710,1,Not sampled in 142.5 years
grid10km,10kmE398N514,1884-06-01,1699,1,Not sampled in 141.6 years
grid10km,10kmE455N318,1884-06-01,1699,1,Not sampled in 141.6 years
grid10km,10kmE515N482,1884-06-01,1699,1,Not sampled in 141.6 years
grid10km,10kmE438N444,1884-07-01,1698,1,Not sampled in 141.5 years
grid10km,10kmE433N458,1884-07-01,1698,1,Not sampled in 141.5 years
grid10km,10kmE443N459,1884-08-01,1697,1,Not sampled in 141.4 years
grid10km,10kmE446N474,1885-08-01,1685,1,Not sampled in 140.4 years
grid10km,10kmE511N416,1886-07-01,1674,1,Not sampled in 139.5 years
