grid,year,basisofrecord,total_occurrences.x,n_months,n_cells_sampled,total_occurrences.y
grid50km,1820,all,418,10,0,
grid50km,1820,humanObservation,170,6,0,
grid50km,1820,preservedSpecimen,248,10,1,1
grid50km,1821,all,711,8,0,
grid50km,1821,humanObservation,274,7,0,
grid50km,1821,occurrence,10,4,1,1
grid50km,1821,preservedSpecimen,427,7,0,
grid50km,1822,all,229,10,0,
grid50km,1822,humanObservation,38,5,0,
grid50km,1822,preservedSpecimen,191,10,0,
grid50km,1823,all,419,8,0,
grid50km,1823,humanObservation,223,5,0,
grid50km,1823,preservedSpecimen,196,8,0,
grid50km,1824,all,419,12,0,
grid50km,1824,humanObservation,358,8,0,
grid50km,1824,preservedSpecimen,61,11,0,
grid50km,1825,all,1880,9,0,
grid50km,1825,humanObservation,1699,8,0,
grid50km,1825,preservedSpecimen,181,9,0,
grid50km,1826,all,1032,11,0,
grid50km,1826,humanObservation,941,8,0,
grid50km,1826,preservedSpecimen,91,10,0,
grid50km,1827,all,151,9,0,
grid50km,1827,fossilSpecimen,1,1,0,
grid50km,1827,humanObservation,46,7,0,
grid50km,1827,preservedSpecimen,104,8,0,
grid50km,1828,all,668,10,0,
grid50km,1828,humanObservation,407,10,0,
grid50km,1828,preservedSpecimen,261,9,0,
grid50km,1829,all,823,11,0,
grid50km,1829,humanObservation,675,9,0,
grid50km,1829,preservedSpecimen,148,11,0,
grid50km,1830,all,270,12,0,
grid50km,1830,humanObservation,99,9,0,
grid50km,1830,preservedSpecimen,171,11,0,
grid50km,1831,all,277,12,0,
grid50km,1831,humanObservation,11,6,0,
grid50km,1831,preservedSpecimen,266,12,0,
grid50km,1832,all,499,12,0,
grid50km,1832,humanObservation,21,5,0,
grid50km,1832,occurrence,10,4,1,1
grid50km,1832,preservedSpecimen,468,11,0,
grid50km,1833,all,501,12,0,
grid50km,1833,humanObservation,222,5,0,
grid50km,1833,preservedSpecimen,279,12,0,
grid50km,1834,all,571,12,0,
grid50km,1834,humanObservation,194,7,0,
grid50km,1834,preservedSpecimen,377,12,0,
grid50km,1835,all,1253,12,0,
grid50km,1835,humanObservation,557,7,0,
grid50km,1835,preservedSpecimen,696,12,0,
grid50km,1836,all,1157,12,0,
grid50km,1836,humanObservation,212,8,0,
grid50km,1836,preservedSpecimen,945,12,0,
grid50km,1837,all,537,12,0,
grid50km,1837,humanObservation,64,9,0,
grid50km,1837,preservedSpecimen,473,12,0,
grid50km,1838,all,460,12,0,
grid50km,1838,humanObservation,56,9,0,
grid50km,1838,preservedSpecimen,404,12,0,
grid50km,1839,all,458,11,0,
grid50km,1839,humanObservation,50,8,0,
grid50km,1839,preservedSpecimen,408,11,0,
grid50km,1840,all,2757,12,0,
grid50km,1840,humanObservation,1256,10,0,
grid50km,1840,occurrence,11,2,0,
grid50km,1840,preservedSpecimen,1490,11,0,
grid50km,1841,all,1780,12,0,
grid50km,1841,humanObservation,1105,11,0,
grid50km,1841,preservedSpecimen,675,12,0,
grid50km,1842,all,1622,12,0,
grid50km,1842,humanObservation,595,12,0,
grid50km,1842,occurrence,6,2,0,
grid50km,1842,preservedSpecimen,1021,12,0,
grid50km,1843,all,910,12,0,
grid50km,1843,humanObservation,302,10,0,
grid50km,1843,occurrence,2,1,0,
grid50km,1843,preservedSpecimen,606,12,0,
grid50km,1844,all,909,12,1,1
grid50km,1844,humanObservation,336,11,0,
grid50km,1844,preservedSpecimen,573,12,1,1
grid50km,1845,all,1082,12,0,
grid50km,1845,humanObservation,343,12,0,
grid50km,1845,preservedSpecimen,739,12,0,
grid50km,1846,all,1169,12,0,
grid50km,1846,humanObservation,291,11,0,
grid50km,1846,preservedSpecimen,878,12,0,
grid50km,1847,all,1516,12,0,
grid50km,1847,humanObservation,794,10,0,
grid50km,1847,preservedSpecimen,722,12,0,
grid50km,1848,all,879,12,0,
grid50km,1848,humanObservation,105,11,0,
grid50km,1848,preservedSpecimen,774,12,0,
grid50km,1849,all,1213,12,0,
grid50km,1849,humanObservation,247,12,0,
grid50km,1849,materialCitation,1,1,1,1
grid50km,1849,occurrence,1,1,0,
grid50km,1849,preservedSpecimen,964,12,0,
grid50km,1850,all,1330,12,0,
grid50km,1850,humanObservation,153,9,0,
grid50km,1850,preservedSpecimen,1177,12,0,
grid50km,1851,all,1414,12,0,
grid50km,1851,humanObservation,105,12,0,
grid50km,1851,preservedSpecimen,1309,12,0,
grid50km,1852,all,1516,12,0,
grid50km,1852,humanObservation,92,8,0,
grid50km,1852,preservedSpecimen,1424,12,0,
grid50km,1853,all,2311,12,0,
grid50km,1853,humanObservation,52,10,0,
grid50km,1853,preservedSpecimen,2259,12,0,
grid50km,1854,all,1315,12,0,
grid50km,1854,humanObservation,30,10,0,
grid50km,1854,preservedSpecimen,1285,12,0,
grid50km,1855,all,1866,12,0,
grid50km,1855,humanObservation,64,11,0,
grid50km,1855,preservedSpecimen,1802,11,0,
grid50km,1856,all,2869,12,0,
grid50km,1856,humanObservation,183,11,0,
grid50km,1856,preservedSpecimen,2686,11,0,
grid50km,1857,all,2582,12,0,
grid50km,1857,humanObservation,136,8,0,
grid50km,1857,preservedSpecimen,2446,12,0,
grid50km,1858,all,2539,12,0,
grid50km,1858,humanObservation,386,11,0,
grid50km,1858,occurrence,1,1,0,
grid50km,1858,preservedSpecimen,2152,12,0,
grid50km,1859,all,5580,12,0,
grid50km,1859,humanObservation,38,11,0,
grid50km,1859,preservedSpecimen,5542,12,0,
grid50km,1860,all,3753,12,0,
grid50km,1860,humanObservation,123,11,0,
grid50km,1860,occurrence,1,1,0,
grid50km,1860,preservedSpecimen,3629,12,0,
grid50km,1861,all,3710,11,0,
grid50km,1861,humanObservation,239,9,0,
grid50km,1861,occurrence,1,1,0,
grid50km,1861,preservedSpecimen,3470,11,0,
grid50km,1862,all,3076,12,0,
grid50km,1862,humanObservation,154,12,0,
grid50km,1862,occurrence,1,1,0,
grid50km,1862,preservedSpecimen,2921,12,0,
grid50km,1863,all,4033,12,0,
grid50km,1863,humanObservation,125,11,0,
grid50km,1863,occurrence,2,1,0,
grid50km,1863,preservedSpecimen,3906,12,0,
grid50km,1864,all,4848,12,0,
grid50km,1864,humanObservation,207,9,0,
grid50km,1864,preservedSpecimen,4641,12,0,
grid50km,1865,all,4602,12,0,
grid50km,1865,humanObservation,94,11,0,
grid50km,1865,materialSample,1,1,0,
grid50km,1865,occurrence,3,2,0,
grid50km,1865,preservedSpecimen,4504,12,0,
grid50km,1866,all,4397,12,0,
grid50km,1866,humanObservation,92,9,0,
grid50km,1866,preservedSpecimen,4305,12,0,
grid50km,1867,all,6016,12,0,
grid50km,1867,humanObservation,256,8,0,
grid50km,1867,occurrence,1,1,0,
grid50km,1867,preservedSpecimen,5759,12,0,
grid50km,1868,all,4348,12,0,
grid50km,1868,humanObservation,152,10,0,
grid50km,1868,occurrence,1,1,0,
grid50km,1868,preservedSpecimen,4195,12,0,
grid50km,1869,all,4727,12,0,
grid50km,1869,humanObservation,103,11,0,
grid50km,1869,occurrence,1,1,0,
grid50km,1869,preservedSpecimen,4623,12,1,1
grid50km,1870,all,5081,12,0,
grid50km,1870,humanObservation,159,12,0,
grid50km,1870,occurrence,1,1,0,
grid50km,1870,preservedSpecimen,4921,12,0,
grid50km,1871,all,4390,12,0,
grid50km,1871,fossilSpecimen,24,1,0,
grid50km,1871,humanObservation,152,12,0,
grid50km,1871,occurrence,2,1,0,
grid50km,1871,preservedSpecimen,4212,12,0,
grid50km,1872,all,5439,12,0,
grid50km,1872,humanObservation,108,12,0,
grid50km,1872,occurrence,3,2,0,
grid50km,1872,preservedSpecimen,5328,12,0,
grid50km,1873,all,5095,12,0,
grid50km,1873,humanObservation,149,10,0,
grid50km,1873,occurrence,1,1,0,
grid50km,1873,preservedSpecimen,4945,12,0,
